,post_link,topic
0,https://edition.cnn.com/2020/12/14/europe/russia-navalny-agents-bellingcat-ward/index.html,politics
1,https://edition.cnn.com/2020/12/15/europe/hungary-lgbtq-adoption-ban-intl/index.html,politics
2,https://edition.cnn.com/2020/12/15/europe/russia-care-home-deaths-intl/index.html,other
3,https://edition.cnn.com/2020/12/15/europe/navalny-russia-amanpour-intl/index.html,politics
4,https://edition.cnn.com/2020/12/15/golf/a-lim-kim-womens-us-open-houston-spt-intl/index.html,politics
5,https://edition.cnn.com/2020/12/14/football/champions-league-round-of-16-draw-spt-intl/index.html,sport
6,https://edition.cnn.com/2020/12/15/sport/nfl-baltimore-ravens-cleveland-browns-final-seconds-spt-intl/index.html,sport
7,https://edition.cnn.com/2020/12/14/uk/london-covid-tier-uk-new-coronavirus-variant-gbr-intl/index.html,pandemic
8,https://edition.cnn.com/2020/12/15/europe/putin-biden-election-congratulates-intl/index.html,politics
9,https://edition.cnn.com/2020/12/14/motorsport/formula-1-scuderia-ferrari-2020-cmd-spt-intl/index.html,sport
10,https://edition.cnn.com/2020/12/14/sport/rugby-world-cup-draw-2023-spt-intl/index.html,sport
11,https://edition.cnn.com/2020/12/14/europe/belgium-santa-nursing-home-scli-intl/index.html,pandemic
12,https://edition.cnn.com/2020/12/14/football/grard-houllier-dies-france-liverpool-spt-intl/index.html,sport
13,https://edition.cnn.com/2020/12/12/sport/michael-phelps-tokyo-doping-olympics-spt-intl/index.html,sport
14,https://edition.cnn.com/2020/12/13/europe/germany-christmas-covid-19-intl-scli-grm/index.html,pandemic
15,https://edition.cnn.com/2020/12/14/football/neymar-injury-psg-lyon-spt-intl/index.html,sport
16,https://edition.cnn.com/2020/12/13/europe/john-le-carr-death/index.html,other
17,https://edition.cnn.com/2020/12/14/europe/dinosaur-brain-ct-scan-intl-scli-scn-gbr/index.html,science
18,https://edition.cnn.com/2020/12/13/sport/columbus-crew-mls-champions/index.html,sport
19,https://edition.cnn.com/2020/12/13/motorsport/max-verstappen-abu-dhabi-grand-prix-spt-intl/index.html,sport
20,https://edition.cnn.com/2020/12/13/uk/brexit-announcement-talks-extension-gbr-intl/index.html,brexit
21,https://edition.cnn.com/2020/12/13/sport/anthony-joshua-tyson-fury-kubrat-pulev-spt-intl/index.html,sport
22,https://edition.cnn.com/2020/12/12/motorsport/lewis-hamilton-coronavirus-abu-dhabi-spt-intl/index.html,pandemic
23,https://edition.cnn.com/2020/12/12/uk/brexit-no-deal-navy-intl-gbr/index.html,brexit
24,https://edition.cnn.com/2020/12/12/uk/boris-johnson-difficult-year-intl-gbr/index.html,politics
25,https://edition.cnn.com/2020/12/12/sport/ryan-newman-nascar-google-athlete-search-spt-intl/index.html,sport
26,https://edition.cnn.com/2020/12/11/golf/amy-olson-yu-jin-sung-hole-in-one-spt-intl/index.html,sport
27,https://edition.cnn.com/2020/12/10/football/napoli-stadio-diego-armando-maradona-spt-intl/index.html,sport
28,https://edition.cnn.com/2020/12/11/motorsport/formula-one-tobacco-sponsorship-deals-spt-itl/index.html,violence
29,https://edition.cnn.com/2020/12/10/australia/australia-vaccine-hiv-intl-hnk/index.html,pandemic
30,https://edition.cnn.com/2020/12/11/europe/europe-covid-cases-restrictions-intl/index.html,pandemic
31,https://edition.cnn.com/2020/12/07/golf/kim-sei-young-golf-major-lpga-south-korea-cmd-spc-spt-intl/index.html,sport
32,https://edition.cnn.com/2020/12/10/motorsport/nikita-mazepin-haas-apology-video-spt-intl/index.html,sport
33,https://edition.cnn.com/2020/12/10/football/mohamed-salah-liverpool-real-madrid-karim-benzema-spt-intl/index.html,sport
34,https://edition.cnn.com/2020/12/10/motorsport/lewis-hamilton-returns-coronavirus-abu-dhabi-grand-prix-spt-intl/index.html,sport
35,https://edition.cnn.com/2020/12/10/sport/lebron-james-time-athlete-of-the-year-spt-intl/index.html,sport
36,https://edition.cnn.com/2020/12/10/uk/sea-dragon-discovered-scli-intl-gbr-scn/index.html,science
37,https://edition.cnn.com/2020/12/10/golf/michelle-wie-west-womens-golf-lgpa-spt-intl/index.html,other
38,https://edition.cnn.com/2020/12/09/football/champions-league-paris-saint-germain-istanbul-basaksehir-resumed-spt-intl/index.html,sport
39,https://edition.cnn.com/2020/12/09/uk/zara-tindall-third-child-scli-intl-gbr/index.html,other
40,https://edition.cnn.com/2020/12/09/uk/uk-and-eu-extend-brexit-talks-to-sunday-intl/index.html,brexit
41,https://edition.cnn.com/2020/12/10/europe/french-covid-preparedness-report-intl/index.html,pandemic
42,https://edition.cnn.com/2020/12/10/football/paolo-rossi-death-intl-hnk/index.html,sport
43,https://edition.cnn.com/2020/12/09/football/psg-istanbul-basaksehir-champions-league-referees-spt-intl/index.html,sport
44,https://edition.cnn.com/2020/12/09/europe/russian-doomsday-plane-scli-intl/index.html,politics
45,https://edition.cnn.com/2020/12/09/europe/polar-bears-svalbard-jon-aars-norwegian-polar-institute-spc-intl-c2e/index.html,climate
46,https://edition.cnn.com/2020/12/09/europe/french-army-soldiers-technology-ethics-scli-intl-scn/index.html,politics
47,https://edition.cnn.com/2020/12/09/china/chinese-womens-football-intl-hnk-scli/index.html,sport
48,https://edition.cnn.com/2020/12/09/europe/covid-vaccine-inequality-developing-world-intl-scli/index.html,pandemic
49,https://edition.cnn.com/2020/12/09/football/mls-25-greatest-players-zlatan-ibrahimovic-spt-intl/index.html,sport
50,https://edition.cnn.com/2020/12/09/europe/germany-deaths-daily-record-merkel-speech-grm-intl/index.html,politics
51,https://edition.cnn.com/2020/12/08/football/paris-saint-germain-istanbul-basaksehir-fourth-official-racism-pierre-webo-spt-intl/index.html,sport
52,https://edition.cnn.com/2020/12/08/europe/dog-brain-activity-intl-scli-scn/index.html,other
53,https://edition.cnn.com/2020/12/08/europe/france-alps-helicopter-crash-intl/index.html,other
54,https://edition.cnn.com/2020/12/08/sport/cristiano-ronaldo-juventus-champions-league-spt-intl-cmd/index.html,sport
55,https://edition.cnn.com/2020/12/08/tennis/carla-suarez-navarro-tennis-spt-intl/index.html,other
56,https://edition.cnn.com/2020/12/08/europe/uk-vaccination-rollout-wales-intl-gbr/index.html,pandemic
57,https://edition.cnn.com/2020/12/08/football/paul-pogba-mino-raiola-manchester-united-spt-intl/index.html,sport
58,https://edition.cnn.com/2020/12/08/sport/doug-scott-obit-everest-death-spt-intl/index.html,sport
59,https://edition.cnn.com/2020/12/08/europe/orangutan-born-belgium-park-scli-intl/index.html,other
60,https://edition.cnn.com/2013/01/21/world/europe/jacques-chirac-fast-facts/index.html,other
61,https://edition.cnn.com/2020/12/07/sport/breakdancing-olympics-paris-2024-spt-intl/index.html,sport
62,https://edition.cnn.com/2020/12/08/sport/james-harden-houston-rockets-holdout-spt-intl/index.html,sport
63,https://edition.cnn.com/2020/12/08/europe/uk-pfizer-biontech-covid-vaccination-intl/index.html,pandemic
64,https://edition.cnn.com/2020/12/07/uk/brexit-boris-johnson-von-der-leyen-intl-gbr/index.html,brexit
65,https://edition.cnn.com/2020/12/05/sport/nfl-coronavirus-schedule-playoffs-spt-intl-cmd/index.html,pandemic
66,https://edition.cnn.com/2020/12/07/sport/kansas-city-chiefs-patrick-mahomes-travis-kelce-spt-intl/index.html,sport
67,https://edition.cnn.com/2020/12/07/football/son-heung-min-harry-kane-tottenham-hotspur-arsenal-spt-intl/index.html,sport
68,https://edition.cnn.com/2020/12/07/golf/christiaan-bezuidenhout-golf-rat-poison-spt-intl/index.html,other
69,https://edition.cnn.com/2020/12/07/europe/pope-francis-iraq-intl/index.html,politics
70,https://edition.cnn.com/2020/12/07/football/fifa-world-cup-2022-europe-qualification-draw-spt-intl/index.html,sport
71,https://edition.cnn.com/2014/07/21/world/europe/keith-richards-fast-facts/index.html,other
72,https://edition.cnn.com/2020/12/03/motorsport/mick-schumacher-f2-haas-michael-schumacher-spt-int-cmd/index.html,sport
73,https://edition.cnn.com/2020/12/07/uk/uk-covid-first-vaccinations-pfizer-gbr-intl/index.html,pandemic
74,https://edition.cnn.com/2020/12/05/australia/australia-house-moving-queensland-intl-hnk-dst/index.html,other
75,https://edition.cnn.com/2020/12/05/football/millwall-championship-football-booing-spt-intl/index.html,sport
76,https://edition.cnn.com/2020/12/06/motorsport/sergio-perez-sakhir-grand-prix-f1-spt-intl/index.html,sport
77,https://edition.cnn.com/2020/12/06/football/napoli-stadium-diego-maradona-spt-intl/index.html,sport
78,https://edition.cnn.com/2020/12/06/football/barcelona-cadiz-ronald-koeman-spt-intl/index.html,sport
79,https://edition.cnn.com/2020/12/06/australia/australia-indigenous-national-anthem-intl-hnk-scli/index.html,sport
80,https://edition.cnn.com/2020/12/05/sport/us-anti-doping-bill-rodchenkov-spt-intl/index.html,politics
81,https://edition.cnn.com/2020/12/03/sport/lebron-james-contract-extension-westbrook-trade-spt-intl/index.html,sport
82,https://edition.cnn.com/2020/12/04/sport/baseball-negro-leagues-hundred-year-anniversary-cmd-spt-intl/index.html,sport
83,https://edition.cnn.com/2020/12/04/motorsport/max-verstappen-romain-grosjean-crash-spt-intl/index.html,other
84,https://edition.cnn.com/2020/12/04/europe/germany-inheritance-intl-scli-grm/index.html,other
85,https://edition.cnn.com/2020/12/04/europe/uk-us-vaccine-approval-intl/index.html,pandemic
86,https://edition.cnn.com/2020/12/04/football/pele-maradona-tribute-spt-intl/index.html,sport
87,https://edition.cnn.com/2020/12/04/football/sergino-dest-barcelona-lionel-messi-neymar-spt-intl/index.html,sport
88,https://edition.cnn.com/2020/12/04/uk/queens-dorgi-dies-scli-intl-gbr/index.html,other
89,https://edition.cnn.com/2020/12/04/uk/uk-hometowns-black-lives-matter-intl/index.html,politics
90,https://edition.cnn.com/2020/12/03/europe/brain-implant-blind-intl-scli-scn/index.html,science
91,https://edition.cnn.com/2020/12/03/football/cristiano-ronaldo-scoring-record-750-spt-intl/index.html,sport
92,https://edition.cnn.com/2020/12/02/uk/uk-pfizer-vaccine-approval-gbr-intl/index.html,pandemic
93,https://edition.cnn.com/2020/12/03/football/david-beckham-malaria-campaign-scli-intl/index.html,sport
94,https://edition.cnn.com/2020/12/02/football/neymar-psg-manchester-united-ucl-spt-intl/index.html,sport
95,https://edition.cnn.com/2020/12/03/sport/africa-esports-kenya-queen-arrow-beast-spc-intl/index.html,sport
96,https://edition.cnn.com/2020/12/03/sport/argentina-rugby-pablo-matera-guido-petti-santiago-socino-reinstated-spt-intl/index.html,sport
97,https://edition.cnn.com/2020/12/03/uk/what-is-going-on-with-brexit-intl-analysis-gbr/index.html,brexit
98,https://edition.cnn.com/2020/12/02/uk/pfizer-coronavirus-vaccine-uk-intl-hnk/index.html,pandemic
99,https://edition.cnn.com/2020/12/02/europe/russia-putin-coronavirus-vaccine-intl/index.html,politics
100,https://edition.cnn.com/2020/12/01/motorsport/formula-one-bahrain-grand-prix-chase-carey-human-rights-spt-intl/index.html,sport
101,https://edition.cnn.com/2020/12/02/football/diego-maradona-psychiatrist-agustina-cosachov-spt-intl/index.html,other
102,https://edition.cnn.com/2020/12/01/australia/australia-csiro-telescope-intl-hnk-scli-scn/index.html,science
103,https://edition.cnn.com/2020/12/02/football/stephanie-frappart-ucl-juventus-dynamo-kiev-spt-intl/index.html,sport
104,https://edition.cnn.com/2020/12/02/sport/rene-campbell-bodybuilding-cmd-spt-intl/index.html,sport
105,https://edition.cnn.com/2020/12/02/motorsport/romain-grosjean-bahrain-gp-released-spt-intl/index.html,other
106,https://edition.cnn.com/2020/12/02/europe/neanderthal-teeth-altamura-man-italy-scn/index.html,science
107,https://edition.cnn.com/2020/12/01/europe/germany-trier-car-incident-grm-intl/index.html,violence
108,https://edition.cnn.com/2020/12/01/motorsport/lewis-hamilton-coronavirus-uk-gbr-spt-intl/index.html,pandemic
109,https://edition.cnn.com/2020/11/26/europe/christmas-europe-covid-intl/index.html,politics
110,https://edition.cnn.com/2020/12/01/football/argentina-rugby-pablo-matera-guido-petti-santiago-socino-spt-intl/index.html,sport
111,https://edition.cnn.com/2020/12/01/uk/tate-modern-boy-health-update-scli-gbr-intl/index.html,other
112,https://edition.cnn.com/2020/12/01/europe/russia-serial-killer-detained-scli-intl/index.html,violence
113,https://edition.cnn.com/2020/12/01/football/shakhtar-donetsk-real-madrid-champions-league-spt-intl/index.html,sport
114,https://edition.cnn.com/2020/12/01/football/diego-maradona-police-gross-negligence-spt-intl/index.html,violence
115,https://edition.cnn.com/2020/12/01/europe/hungarian-mep-lockdown-party-brussels-intl/index.html,politics
116,https://edition.cnn.com/2020/11/30/sport/first-woman-coach-nfl-game-trnd/index.html,sport
117,https://edition.cnn.com/2020/12/01/sport/kevin-escoffier-yacht-vendee-globe-race-spt-intl/index.html,other
118,https://edition.cnn.com/2020/12/01/australia/hypersonic-missile-australia-us-intl-hnk/index.html,sport
